Product name,Price,Rating,No. of ratings,No. of reviews,Product id,Seller details,Product URL
OMRON BAGS - Black Polyester Backpack ( 35 Ltrs ),Rs.  625,4.1,1254,68,SDL348853411,omron bags,https://www.snapdeal.com/product/omron-bags-40-ltrs-black/647490383534
Daniel Clarion 35 Ltrs Black Laptop Bags,Rs.  549,4.2,34,1,SDL695601560,g.s.traders,https://www.snapdeal.com/product/daniel-clarion-35-ltrs-black/650069447250
OMRON BAGS - Black Polyester Backpack ( 35 Ltrs ),Rs.  599,4.0,30,3,SDL122675086,omron bags,https://www.snapdeal.com/product/omron-bags-35-ltrs-blue/653341108780
Ritzy 22 Ltrs Orange Polyester College Bag,Rs.  389,4.0,1,N/A,SDL361520574,a.b.bags,https://www.snapdeal.com/product/ritzy-22-ltrs-orange-polyester/623857149972
"Gear - Black & Blue Polyester Backpack bag For Tution,Gym,Picnic Bags ( 16 Ltrs )",Rs.  289,N/A,N/A,N/A,SDL705418063,gear merchandise pvt ltd,https://www.snapdeal.com/product/gear-black-polyester-backpack-16/639148164521
OMRON BAGS - Grey Polyester Backpack ( 40 Ltrs ),Rs.  649,4.2,252,17,SDL442032640,omron bags,https://www.snapdeal.com/product/omron-bags-40-ltrs-grey/630044862570
Polestar 32 Ltrs Blue Backpack bags,Rs.  575,4.2,165,3,SDL159931880,scale polestar india private limited,https://www.snapdeal.com/product/polestar-32-ltrs-blue-backpack/671118411325
Bewakoof - Blue PU Backpack ( 13 Ltrs ) Bag,Rs.  279,4.3,23,N/A,SDL339333439,bewakoof.com,https://www.snapdeal.com/product/bewakoof-blue-pu-backpack-13/653203152781
Style Smith 41 Ltrs Grey Laptop Bags,Rs.  649,4.2,5,N/A,SDL798153192,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-41-ltrs-grey/654076334840
OMRON BAGS - Black Polyester Backpack ( 35 Ltrs ),Rs.  625,3.9,21,1,SDL868275619,omron bags,https://www.snapdeal.com/product/omron-bags-blue-polyester-backpack/650078030192
Arctic Fox 15 Litres Draw String Bags Black Backpack,Rs.  199,4.3,405,14,SDL312136989,outshiny india private limited,https://www.snapdeal.com/product/arctic-fox-15-ltrs-black/648947346129
OMRON BAGS - Blue Polyester Backpack ( 40 Ltrs ),Rs.  625,4.2,152,19,SDL871660782,omron bags,https://www.snapdeal.com/product/omron-bags-40-ltrs-blue/668157464459
Polestar 35 Ltrs Black Backpack bags,Rs.  625,4.5,171,7,SDL126771293,scale polestar india private limited,https://www.snapdeal.com/product/polestar-35-ltrs-black-backpack/681576277926
Lychee Bags Pink Backpack Bags,Rs.  249,4.2,42,1,SDL032878998,creative fashions,https://www.snapdeal.com/product/lychee-bags-pink-backpack/622396239052
Daniel Clarion 35 Ltrs Grey Laptop Bags,Rs.  549,4.2,54,5,SDL567293658,g.s.traders,https://www.snapdeal.com/product/daniel-clarion-35-ltrs-grey/654666350663
HOMETALES - Multicolor Laundry Bag,Rs.  169,4.1,1210,42,SDL874883078,juscorp enterprises private limited,https://www.snapdeal.com/product/hometales-set-of-2-20/656856894059
OMRON BAGS - Black Polyester Backpack ( 40 Ltrs ),Rs.  675,4.4,47,5,SDL159200485,omron bags,https://www.snapdeal.com/product/omron-bags-40-ltrs-black/639943345377
Leather World 45 Ltrs Blue Backpack Bag,Rs.  849,4.1,160,1,SDL018288244,leather world,https://www.snapdeal.com/product/leather-world-casual-unisex-adventurous/662269440889
SH. NASIMA - Multicolor Laundry Bag,Rs.  199,4.2,463,11,SDL166188638,sh nasima manufacturer,https://www.snapdeal.com/product/hometales-set-of-1-20/642739100149
Polestar 35 Ltrs Blue Backpack bags,Rs.  625,4.3,134,7,SDL074683810,scale polestar india private limited,https://www.snapdeal.com/product/polestar-35-ltrs-blue-backpack/626030957363
AXEN BAGS - Brown Polyester Duffle Trolley,Rs.  449,5.0,4,4,SDL356249544,axen bags,https://www.snapdeal.com/product/axen-bags-red-polyester-duffle/7493990419404754184
Leather World 55 Ltrs Tan Solid Duffle Bag Travel Bag,Rs.  949,4.3,86,4,SDL642576022,leather world,https://www.snapdeal.com/product/leather-world-55-ltrs-tan/670799954705
SATELLITE Blue Solid Duffle Bag,Rs.  925,4.3,19,1,SDL890776896,ram lal ram chander (india) ltd.,https://www.snapdeal.com/product/satellite-navy-solid-duffle-bag/6917529685330688152
AXEN BAGS - Red Polyester Duffle Trolley,"Rs.  1,149",5.0,1,1,SDL645396058,axen bags,https://www.snapdeal.com/product/axen-bags-sky-blue-polyester/7493990403829397063
VVORAA - Multi Fabric Duffle Bag,Rs.  725,4.3,10,N/A,SDL712918153,ramdev enterprise,https://www.snapdeal.com/product/vvoraa-multi-fabric-duffle-bag/634461713485
PrettyKrafts Nylon Waterproof Double Decker 16'' inches Travel Duffle - (Set of 4) Grey,Rs.  752,4.1,14,N/A,SDL159446823,mensa brand technologies private limited,https://www.snapdeal.com/product/prettykrafts-grey-solid-l-duffle/670528559667
Gear 22 Ltrs Grey Duffle Travel Bag,Rs.  575,4.2,74,2,SDL580671797,gear merchandise pvt ltd,https://www.snapdeal.com/product/gear-22-ltrs-grey-duffle/672387505142
Afco Bags - Blue Polyester Duffle Bag,Rs.  399,4.0,122,N/A,SDL801351683,afco bag,https://www.snapdeal.com/product/afco-bags-30-ltrs-blue/635299992100
AXEN BAGS - Blue Polyester Duffle Trolley,Rs.  549,5.0,1,N/A,SDL676717891,axen bags,https://www.snapdeal.com/product/axen-bags-brown-polyester-duffle/5764608193057099518
Urban Tribe Black Solid S Duffle Bag,"Rs.  1,399",N/A,N/A,N/A,SDL188513759,backpack international,https://www.snapdeal.com/product/urban-tribe-black-solid-s/678904103185
Leather World Brown Solid M Duffle Travel Bags,Rs.  825,4.2,53,2,SDL505401936,leather world,https://www.snapdeal.com/product/leather-world-brown-solid-m/624862984978
Fly Fashion Blue Solid S Duffle Bag,Rs.  575,4.0,14,N/A,SDL673379363,leather world,https://www.snapdeal.com/product/fly-fashion-blue-solid-s/659048399925
Leather World Nylon Storage Bag & Trunk,Rs.  849,4.3,7,N/A,SDL456935297,leather world,https://www.snapdeal.com/product/leather-world-nylon-storage-bag/618967784539
AXEN BAGS - Black Polyester Duffle Trolley,Rs.  749,5.0,2,N/A,SDL552383716,axen bags,https://www.snapdeal.com/product/axen-bags-grey-polyester-duffle/5764608178541490981
Leather World Black Solid L Duffle Travel Bag,Rs.  849,4.5,42,1,SDL090777042,leather world,https://www.snapdeal.com/product/leather-world-black-solid-l/667107423939
